employee_ref,work_date,clock_in,clock_out,raw_hours,job_code,notes
EMP-003,2026-08-11,2026-08-11T07:00:00-04:00,2026-08-11T14:45:00-04:00,7.75,Apprentice Laborer,
EMP-003,2026-08-12,2026-08-12T07:00:00-04:00,2026-08-12T15:15:00-04:00,8.25,Apprentice Laborer,
EMP-003,2026-08-13,2026-08-13T07:00:00-04:00,2026-08-13T15:00:00-04:00,8.00,Apprentice Laborer,
EMP-003,2026-08-14,2026-08-14T07:00:00-04:00,2026-08-14T15:00:00-04:00,8.00,Apprentice Laborer,
EMP-003,2026-08-17,2026-08-17T07:00:00-04:00,2026-08-17T15:00:00-04:00,8.00,Apprentice Laborer,
EMP-003,2026-08-18,2026-08-18T07:00:00-04:00,2026-08-18T14:45:00-04:00,7.75,Foreman,PLANTED ERROR 3: job_code 'Foreman' does not match employee's employment_period role/rate
EMP-003,2026-08-19,2026-08-19T07:00:00-04:00,2026-08-19T15:15:00-04:00,8.25,Apprentice Laborer,
EMP-003,2026-08-20,2026-08-20T07:00:00-04:00,2026-08-20T15:00:00-04:00,8.00,Apprentice Laborer,
EMP-003,2026-08-21,2026-08-21T07:00:00-04:00,2026-08-21T15:00:00-04:00,8.00,Apprentice Laborer,
EMP-004,2026-08-10,2026-08-10T07:00:00-04:00,2026-08-10T14:45:00-04:00,7.75,Electrician,
EMP-004,2026-08-11,2026-08-11T07:00:00-04:00,2026-08-11T15:15:00-04:00,8.25,Electrician,
EMP-004,2026-08-12,2026-08-12T07:00:00-04:00,2026-08-12T15:00:00-04:00,8.00,Electrician,
EMP-004,2026-08-13,2026-08-13T07:00:00-04:00,2026-08-13T15:15:00-04:00,8.25,Electrician,
EMP-004,2026-08-14,2026-08-14T07:00:00-04:00,2026-08-14T14:45:00-04:00,7.75,Electrician,
EMP-004,2026-08-17,2026-08-17T07:00:00-04:00,2026-08-17T15:00:00-04:00,8.00,Electrician,
EMP-004,2026-08-18,2026-08-18T07:00:00-04:00,2026-08-18T15:15:00-04:00,8.25,Electrician,
EMP-004,2026-08-19,2026-08-19T07:00:00-04:00,2026-08-19T15:15:00-04:00,8.25,Electrician,
EMP-004,2026-08-20,2026-08-20T07:00:00-04:00,2026-08-20T15:00:00-04:00,8.00,Electrician,
EMP-004,2026-08-20,2026-08-20T12:00:00-04:00,2026-08-20T16:00:00-04:00,4.00,Electrician,PLANTED ERROR 4: overlaps her 07:00-15:30 punch same day — duplicate/overlapping entry
EMP-004,2026-08-21,2026-08-21T07:00:00-04:00,2026-08-21T14:45:00-04:00,7.75,Electrician,
EMP-005,2026-08-10,2026-08-10T07:00:00-04:00,2026-08-10T15:45:00-04:00,8.75,Apprentice Laborer,
EMP-005,2026-08-11,2026-08-11T07:00:00-04:00,2026-08-11T15:30:00-04:00,8.50,Apprentice Laborer,
EMP-005,2026-08-12,2026-08-12T07:00:00-04:00,2026-08-12T15:15:00-04:00,8.25,Apprentice Laborer,
EMP-005,2026-08-13,2026-08-13T07:00:00-04:00,2026-08-13T15:45:00-04:00,8.75,Apprentice Laborer,
EMP-005,2026-08-14,2026-08-14T07:00:00-04:00,2026-08-14T15:30:00-04:00,8.50,Apprentice Laborer,
EMP-005,2026-08-17,2026-08-17T07:00:00-04:00,2026-08-17T15:30:00-04:00,8.50,Apprentice Laborer,
EMP-005,2026-08-18,2026-08-18T07:00:00-04:00,2026-08-18T15:30:00-04:00,8.50,Apprentice Laborer,
EMP-005,2026-08-19,2026-08-19T07:00:00-04:00,2026-08-19T15:45:00-04:00,8.75,Apprentice Laborer,
EMP-005,2026-08-20,2026-08-20T07:00:00-04:00,2026-08-20T15:30:00-04:00,8.50,Apprentice Laborer,
EMP-005,2026-08-21,2026-08-21T07:00:00-04:00,2026-08-21T15:30:00-04:00,8.50,Apprentice Laborer,
EMP-006,2026-08-10,2026-08-10T07:00:00-04:00,2026-08-10T15:30:00-04:00,8.50,Equipment Operator,
EMP-006,2026-08-11,2026-08-11T07:00:00-04:00,2026-08-11T15:30:00-04:00,8.50,Equipment Operator,
EMP-006,2026-08-12,2026-08-12T07:00:00-04:00,2026-08-12T15:30:00-04:00,8.50,Equipment Operator,
EMP-006,2026-08-13,2026-08-13T07:00:00-04:00,2026-08-13T15:30:00-04:00,8.50,Equipment Operator,
EMP-006,2026-08-14,2026-08-14T07:00:00-04:00,2026-08-14T15:30:00-04:00,8.50,Equipment Operator,
EMP-006,2026-08-17,2026-08-17T07:00:00-04:00,2026-08-17T15:30:00-04:00,8.50,Equipment Operator,
EMP-006,2026-08-18,2026-08-18T07:00:00-04:00,2026-08-18T15:30:00-04:00,8.50,Equipment Operator,
EMP-006,2026-08-19,2026-08-19T07:00:00-04:00,2026-08-19T15:30:00-04:00,8.50,Equipment Operator,
EMP-006,2026-08-20,2026-08-20T07:00:00-04:00,2026-08-20T15:30:00-04:00,8.50,Equipment Operator,
EMP-006,2026-08-21,2026-08-21T07:00:00-04:00,2026-08-21T15:30:00-04:00,8.50,Equipment Operator,
EMP-007,2026-08-10,2026-08-10T07:00:00-04:00,2026-08-10T15:00:00-04:00,8.00,Foreman,
EMP-007,2026-08-11,2026-08-11T07:00:00-04:00,2026-08-11T15:00:00-04:00,8.00,Foreman,
EMP-007,2026-08-12,2026-08-12T07:00:00-04:00,2026-08-12T14:45:00-04:00,7.75,Foreman,
EMP-007,2026-08-13,2026-08-13T07:00:00-04:00,2026-08-13T15:00:00-04:00,8.00,Foreman,
EMP-007,2026-08-14,2026-08-14T07:00:00-04:00,2026-08-14T15:15:00-04:00,8.25,Foreman,
EMP-007,2026-08-17,2026-08-17T07:00:00-04:00,2026-08-17T14:45:00-04:00,7.75,Foreman,
EMP-007,2026-08-18,2026-08-18T07:00:00-04:00,2026-08-18T15:00:00-04:00,8.00,Foreman,
EMP-007,2026-08-19,2026-08-19T07:00:00-04:00,2026-08-19T15:00:00-04:00,8.00,Foreman,
EMP-007,2026-08-20,2026-08-20T07:00:00-04:00,2026-08-20T15:00:00-04:00,8.00,Foreman,
EMP-007,2026-08-21,2026-08-21T07:00:00-04:00,2026-08-21T15:00:00-04:00,8.00,Foreman,
EMP-008,2026-08-10,2026-08-10T07:00:00-04:00,2026-08-10T15:00:00-04:00,8.00,Carpenter,
EMP-008,2026-08-11,2026-08-11T07:00:00-04:00,2026-08-11T15:15:00-04:00,8.25,Carpenter,
EMP-008,2026-08-12,2026-08-12T07:00:00-04:00,2026-08-12T14:45:00-04:00,7.75,Carpenter,
EMP-008,2026-08-13,2026-08-13T07:00:00-04:00,2026-08-13T15:00:00-04:00,8.00,Carpenter,
EMP-008,2026-08-14,2026-08-14T07:00:00-04:00,2026-08-14T15:15:00-04:00,8.25,Carpenter,
EMP-008,2026-08-17,2026-08-17T07:00:00-04:00,2026-08-17T15:00:00-04:00,8.00,Carpenter,
EMP-008,2026-08-18,2026-08-18T07:00:00-04:00,2026-08-18T15:00:00-04:00,8.00,Carpenter,
EMP-008,2026-08-19,2026-08-19T07:00:00-04:00,2026-08-19T15:15:00-04:00,8.25,Carpenter,
EMP-008,2026-08-20,2026-08-20T07:00:00-04:00,2026-08-20T14:45:00-04:00,7.75,Carpenter,
EMP-008,2026-08-21,2026-08-21T07:00:00-04:00,2026-08-21T15:00:00-04:00,8.00,Carpenter,
EMP-009,2026-08-10,2026-08-10T07:00:00-04:00,2026-08-10T14:45:00-04:00,7.75,HVAC Technician,
EMP-009,2026-08-11,2026-08-11T07:00:00-04:00,2026-08-11T15:15:00-04:00,8.25,HVAC Technician,
EMP-009,2026-08-12,2026-08-12T07:00:00-04:00,2026-08-12T15:00:00-04:00,8.00,HVAC Technician,
EMP-009,2026-08-13,2026-08-13T07:00:00-04:00,2026-08-13T15:00:00-04:00,8.00,HVAC Technician,
EMP-009,2026-08-14,2026-08-14T07:00:00-04:00,2026-08-14T15:00:00-04:00,8.00,HVAC Technician,
EMP-009,2026-08-17,2026-08-17T07:00:00-04:00,2026-08-17T15:00:00-04:00,8.00,HVAC Technician,
EMP-009,2026-08-18,2026-08-18T07:00:00-04:00,2026-08-18T15:15:00-04:00,8.25,HVAC Technician,
EMP-009,2026-08-19,2026-08-19T07:00:00-04:00,2026-08-19T15:00:00-04:00,8.00,HVAC Technician,
EMP-009,2026-08-20,2026-08-20T07:00:00-04:00,2026-08-20T14:45:00-04:00,7.75,HVAC Technician,
EMP-009,2026-08-21,2026-08-21T07:00:00-04:00,2026-08-21T15:00:00-04:00,8.00,HVAC Technician,
EMP-010,2026-08-10,2026-08-10T07:00:00-04:00,2026-08-10T15:00:00-04:00,8.00,Plumber,
EMP-010,2026-08-11,2026-08-11T07:00:00-04:00,2026-08-11T15:15:00-04:00,8.25,Plumber,
EMP-010,2026-08-12,2026-08-12T07:00:00-04:00,2026-08-12T14:45:00-04:00,7.75,Plumber,
EMP-010,2026-08-13,2026-08-13T07:00:00-04:00,2026-08-13T15:00:00-04:00,8.00,Plumber,
EMP-010,2026-08-14,2026-08-14T07:00:00-04:00,2026-08-14T14:45:00-04:00,7.75,Plumber,
EMP-010,2026-08-17,2026-08-17T07:00:00-04:00,2026-08-17T15:15:00-04:00,8.25,Plumber,
EMP-010,2026-08-18,2026-08-18T07:00:00-04:00,2026-08-18T15:00:00-04:00,8.00,Plumber,
EMP-010,2026-08-19,2026-08-19T07:00:00-04:00,2026-08-19T14:45:00-04:00,7.75,Plumber,
EMP-010,2026-08-20,2026-08-20T07:00:00-04:00,2026-08-20T15:00:00-04:00,8.00,Plumber,
EMP-010,2026-08-21,2026-08-21T07:00:00-04:00,2026-08-21T15:00:00-04:00,8.00,Plumber,
EMP-011,2026-08-10,2026-08-10T07:00:00-04:00,2026-08-10T15:15:00-04:00,8.25,Laborer,
EMP-011,2026-08-11,2026-08-11T07:00:00-04:00,2026-08-11T15:30:00-04:00,8.50,Laborer,
EMP-011,2026-08-12,2026-08-12T07:00:00-04:00,2026-08-12T15:30:00-04:00,8.50,Laborer,
EMP-011,2026-08-13,2026-08-13T07:00:00-04:00,2026-08-13T15:45:00-04:00,8.75,Laborer,
EMP-011,2026-08-14,2026-08-14T07:00:00-04:00,2026-08-14T15:30:00-04:00,8.50,Laborer,
EMP-011,2026-08-17,2026-08-17T07:00:00-04:00,2026-08-17T15:45:00-04:00,8.75,Laborer,
EMP-011,2026-08-18,2026-08-18T07:00:00-04:00,2026-08-18T15:30:00-04:00,8.50,Laborer,
EMP-011,2026-08-19,2026-08-19T07:00:00-04:00,2026-08-19T15:30:00-04:00,8.50,Laborer,
EMP-011,2026-08-20,2026-08-20T07:00:00-04:00,2026-08-20T15:30:00-04:00,8.50,Laborer,
EMP-011,2026-08-21,2026-08-21T07:00:00-04:00,2026-08-21T15:45:00-04:00,8.75,Laborer,
EMP-012,2026-08-10,2026-08-10T07:00:00-04:00,2026-08-10T15:15:00-04:00,8.25,Electrician,
EMP-012,2026-08-11,2026-08-11T07:00:00-04:00,2026-08-11T15:30:00-04:00,8.50,Electrician,
EMP-012,2026-08-12,2026-08-12T07:00:00-04:00,2026-08-12T15:15:00-04:00,8.25,Electrician,
EMP-012,2026-08-13,2026-08-13T07:00:00-04:00,2026-08-13T15:45:00-04:00,8.75,Electrician,
EMP-012,2026-08-14,2026-08-14T07:00:00-04:00,2026-08-14T15:45:00-04:00,8.75,Electrician,
EMP-012,2026-08-17,2026-08-17T07:00:00-04:00,2026-08-17T15:30:00-04:00,8.50,Electrician,
EMP-012,2026-08-18,2026-08-18T07:00:00-04:00,2026-08-18T15:15:00-04:00,8.25,Electrician,
EMP-012,2026-08-19,2026-08-19T07:00:00-04:00,2026-08-19T15:30:00-04:00,8.50,Electrician,
EMP-012,2026-08-20,2026-08-20T07:00:00-04:00,2026-08-20T15:15:00-04:00,8.25,Electrician,
EMP-012,2026-08-21,2026-08-21T07:00:00-04:00,2026-08-21T15:30:00-04:00,8.50,Electrician,
EMP-013,2026-08-10,2026-08-10T07:00:00-04:00,2026-08-10T15:00:00-04:00,8.00,Equipment Operator,
EMP-013,2026-08-11,2026-08-11T07:00:00-04:00,2026-08-11T15:00:00-04:00,8.00,Equipment Operator,
EMP-013,2026-08-12,2026-08-12T07:00:00-04:00,2026-08-12T15:15:00-04:00,8.25,Equipment Operator,
EMP-013,2026-08-13,2026-08-13T07:00:00-04:00,2026-08-13T15:00:00-04:00,8.00,Equipment Operator,
EMP-013,2026-08-14,2026-08-14T07:00:00-04:00,2026-08-14T14:45:00-04:00,7.75,Equipment Operator,
EMP-013,2026-08-17,2026-08-17T07:00:00-04:00,2026-08-17T14:45:00-04:00,7.75,Equipment Operator,
EMP-013,2026-08-18,2026-08-18T07:00:00-04:00,2026-08-18T15:00:00-04:00,8.00,Equipment Operator,
EMP-013,2026-08-19,2026-08-19T07:00:00-04:00,2026-08-19T15:00:00-04:00,8.00,Equipment Operator,
EMP-013,2026-08-20,2026-08-20T07:00:00-04:00,2026-08-20T15:00:00-04:00,8.00,Equipment Operator,
EMP-013,2026-08-21,2026-08-21T07:00:00-04:00,2026-08-21T15:00:00-04:00,8.00,Equipment Operator,
EMP-014,2026-08-10,2026-08-10T07:00:00-04:00,2026-08-10T15:45:00-04:00,8.75,Carpenter,
EMP-014,2026-08-11,2026-08-11T07:00:00-04:00,2026-08-11T15:15:00-04:00,8.25,Carpenter,
EMP-014,2026-08-12,2026-08-12T07:00:00-04:00,2026-08-12T15:45:00-04:00,8.75,Carpenter,
EMP-014,2026-08-13,2026-08-13T07:00:00-04:00,2026-08-13T15:30:00-04:00,8.50,Carpenter,
EMP-014,2026-08-14,2026-08-14T07:00:00-04:00,2026-08-14T15:30:00-04:00,8.50,Carpenter,
EMP-014,2026-08-17,2026-08-17T07:00:00-04:00,2026-08-17T15:30:00-04:00,8.50,Carpenter,
EMP-014,2026-08-18,2026-08-18T07:00:00-04:00,2026-08-18T15:30:00-04:00,8.50,Carpenter,
EMP-014,2026-08-19,2026-08-19T07:00:00-04:00,2026-08-19T15:30:00-04:00,8.50,Carpenter,
EMP-014,2026-08-20,2026-08-20T07:00:00-04:00,2026-08-20T15:30:00-04:00,8.50,Carpenter,
EMP-014,2026-08-21,2026-08-21T07:00:00-04:00,2026-08-21T15:15:00-04:00,8.25,Carpenter,
EMP-015,2026-08-10,2026-08-10T07:00:00-04:00,2026-08-10T15:00:00-04:00,8.00,Foreman,
EMP-015,2026-08-11,2026-08-11T07:00:00-04:00,2026-08-11T15:00:00-04:00,8.00,Foreman,
EMP-015,2026-08-12,2026-08-12T07:00:00-04:00,2026-08-12T14:45:00-04:00,7.75,Foreman,
EMP-015,2026-08-13,2026-08-13T07:00:00-04:00,2026-08-13T15:00:00-04:00,8.00,Foreman,
EMP-015,2026-08-14,2026-08-14T07:00:00-04:00,2026-08-14T15:00:00-04:00,8.00,Foreman,
EMP-015,2026-08-17,2026-08-17T07:00:00-04:00,2026-08-17T15:15:00-04:00,8.25,Foreman,
EMP-015,2026-08-18,2026-08-18T07:00:00-04:00,2026-08-18T15:00:00-04:00,8.00,Foreman,
EMP-015,2026-08-19,2026-08-19T07:00:00-04:00,2026-08-19T15:00:00-04:00,8.00,Foreman,
EMP-015,2026-08-20,2026-08-20T07:00:00-04:00,2026-08-20T15:00:00-04:00,8.00,Foreman,
EMP-015,2026-08-21,2026-08-21T07:00:00-04:00,2026-08-21T14:45:00-04:00,7.75,Foreman,
EMP-016,2026-08-10,2026-08-10T07:00:00-04:00,2026-08-10T15:30:00-04:00,8.50,Laborer,
EMP-016,2026-08-11,2026-08-11T07:00:00-04:00,2026-08-11T15:30:00-04:00,8.50,Laborer,
EMP-016,2026-08-12,2026-08-12T07:00:00-04:00,2026-08-12T15:30:00-04:00,8.50,Laborer,
EMP-016,2026-08-13,2026-08-13T07:00:00-04:00,2026-08-13T15:30:00-04:00,8.50,Laborer,
EMP-016,2026-08-14,2026-08-14T07:00:00-04:00,2026-08-14T15:30:00-04:00,8.50,Laborer,
EMP-016,2026-08-17,2026-08-17T07:00:00-04:00,2026-08-17T15:30:00-04:00,8.50,Laborer,
EMP-016,2026-08-18,2026-08-18T07:00:00-04:00,2026-08-18T15:30:00-04:00,8.50,Laborer,
EMP-016,2026-08-19,2026-08-19T07:00:00-04:00,2026-08-19T15:30:00-04:00,8.50,Laborer,
EMP-016,2026-08-20,2026-08-20T07:00:00-04:00,2026-08-20T15:30:00-04:00,8.50,Laborer,
EMP-016,2026-08-21,2026-08-21T07:00:00-04:00,2026-08-21T15:45:00-04:00,8.75,Laborer,
